Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,California,All Sexes,85 years and over,28498.0,365869.0,14338.0
09/27/2023,Colorado,All Sexes,All Ages,15378.0,176094.0,7850.0
09/27/2023,Colorado,All Sexes,Under 1 year,15.0,1171.0,0.0
09/27/2023,Colorado,All Sexes,0-17 years,31.0,2248.0,0.0
09/27/2023,Colorado,All Sexes,1-4 years,0.0,192.0,0.0
09/27/2023,Colorado,All Sexes,5-14 years,0.0,404.0,0.0
09/27/2023,Colorado,All Sexes,15-24 years,53.0,2740.0,18.0
09/27/2023,Colorado,All Sexes,18-29 years,107.0,4653.0,41.0
09/27/2023,Colorado,All Sexes,25-34 years,168.0,5519.0,73.0
09/27/2023,Colorado,All Sexes,30-39 years,267.0,6638.0,125.0
09/27/2023,Colorado,All Sexes,35-44 years,388.0,7390.0,182.0
09/27/2023,Colorado,All Sexes,40-49 years,623.0,8339.0,321.0
09/27/2023,Colorado,All Sexes,45-54 years,946.0,10650.0,517.0
09/27/2023,Colorado,All Sexes,50-64 years,2582.0,28027.0,1410.0
09/27/2023,Colorado,All Sexes,55-64 years,2033.0,21839.0,1111.0
09/27/2023,Colorado,All Sexes,65-74 years,3361.0,34823.0,1925.0
09/27/2023,Colorado,All Sexes,75-84 years,4008.0,41652.0,2145.0
09/27/2023,Colorado,All Sexes,85 years and over,4399.0,49714.0,1876.0
09/27/2023,Connecticut,All Sexes,All Ages,12571.0,130502.0,4082.0
09/27/2023,Connecticut,All Sexes,Under 1 year,0.0,553.0,0.0
09/27/2023,Connecticut,All Sexes,0-17 years,15.0,922.0,0.0
09/27/2023,Connecticut,All Sexes,1-4 years,0.0,79.0,0.0
09/27/2023,Connecticut,All Sexes,5-14 years,0.0,130.0,0.0
09/27/2023,Connecticut,All Sexes,15-24 years,16.0,961.0,0.0
09/27/2023,Connecticut,All Sexes,18-29 years,37.0,1776.0,11.0
09/27/2023,Connecticut,All Sexes,25-34 years,77.0,2387.0,21.0
09/27/2023,Connecticut,All Sexes,30-39 years,126.0,3174.0,31.0
