Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,13.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,26.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,36.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,33.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,35.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,59.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,16.0,186.0,10.0
09/27/2023,Idaho,All Sexes,55-64 years,11.0,143.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,22.0,277.0,15.0
09/27/2023,Idaho,All Sexes,75-84 years,22.0,346.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,22.0,351.0,13.0
09/27/2023,Idaho,All Sexes,All Ages,70.0,1339.0,43.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,15.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,28.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,39.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,27.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,33.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,45.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,58.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,77.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,15.0,202.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,10.0,159.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,20.0,288.0,15.0
09/27/2023,Idaho,All Sexes,75-84 years,22.0,347.0,13.0
09/27/2023,Idaho,All Sexes,85 years and over,11.0,357.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,53.0,1320.0,32.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,19.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,27.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,25.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,25.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,36.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,55.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,69.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,191.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,152.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,17.0,291.0,10.0
09/27/2023,Idaho,All Sexes,75-84 years,0.0,332.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,16.0,385.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,59.0,1382.0,33.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,17.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,22.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,36.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,37.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,43.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,52.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,61.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,84.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,13.0,216.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,11.0,164.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,12.0,290.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,17.0,350.0,12.0
09/27/2023,Idaho,All Sexes,85 years and over,13.0,369.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,227.0,1522.0,128.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,12.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,26.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,38.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,40.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,11.0,42.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,11.0,57.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,14.0,84.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,50.0,260.0,24.0
09/27/2023,Idaho,All Sexes,55-64 years,41.0,210.0,21.0
09/27/2023,Idaho,All Sexes,65-74 years,54.0,309.0,31.0
09/27/2023,Idaho,All Sexes,75-84 years,65.0,432.0,50.0
09/27/2023,Idaho,All Sexes,85 years and over,39.0,386.0,14.0
09/27/2023,Idaho,All Sexes,All Ages,638.0,1986.0,376.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,11.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,24.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,21.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,10.0,36.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,17.0,51.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,18.0,68.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,36.0,83.0,18.0
09/27/2023,Idaho,All Sexes,45-54 years,70.0,132.0,40.0
09/27/2023,Idaho,All Sexes,50-64 years,150.0,343.0,82.0
09/27/2023,Idaho,All Sexes,55-64 years,107.0,257.0,57.0
09/27/2023,Idaho,All Sexes,65-74 years,168.0,457.0,107.0
09/27/2023,Idaho,All Sexes,75-84 years,145.0,468.0,96.0
09/27/2023,Idaho,All Sexes,85 years and over,117.0,528.0,61.0
09/27/2023,Idaho,All Sexes,All Ages,655.0,2105.0,392.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,13.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,24.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,24.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,40.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,34.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,51.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,21.0,73.0,12.0
09/27/2023,Idaho,All Sexes,40-49 years,35.0,85.0,23.0
09/27/2023,Idaho,All Sexes,45-54 years,55.0,121.0,40.0
09/27/2023,Idaho,All Sexes,50-64 years,155.0,362.0,99.0
09/27/2023,Idaho,All Sexes,55-64 years,121.0,290.0,73.0
09/27/2023,Idaho,All Sexes,65-74 years,149.0,435.0,102.0
09/27/2023,Idaho,All Sexes,75-84 years,163.0,515.0,90.0
09/27/2023,Idaho,All Sexes,85 years and over,139.0,593.0,72.0
09/27/2023,Idaho,All Sexes,All Ages,324.0,1712.0,200.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,15.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,23.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,28.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,45.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,13.0,70.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,17.0,81.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,29.0,111.0,21.0
09/27/2023,Idaho,All Sexes,50-64 years,78.0,280.0,50.0
09/27/2023,Idaho,All Sexes,55-64 years,58.0,210.0,35.0
09/27/2023,Idaho,All Sexes,65-74 years,93.0,381.0,62.0
09/27/2023,Idaho,All Sexes,75-84 years,72.0,440.0,50.0
09/27/2023,Idaho,All Sexes,85 years and over,57.0,447.0,24.0
09/27/2023,Idaho,All Sexes,All Ages,220.0,1639.0,132.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,10.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,21.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,19.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,31.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,34.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,40.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,12.0,57.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,14.0,79.0,10.0
09/27/2023,Idaho,All Sexes,50-64 years,41.0,236.0,22.0
09/27/2023,Idaho,All Sexes,55-64 years,33.0,192.0,17.0
09/27/2023,Idaho,All Sexes,65-74 years,58.0,342.0,40.0
09/27/2023,Idaho,All Sexes,75-84 years,64.0,415.0,39.0
09/27/2023,Idaho,All Sexes,85 years and over,41.0,503.0,20.0
09/27/2023,Idaho,All Sexes,All Ages,273.0,1714.0,145.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,24.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,42.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,14.0,53.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,15.0,65.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,17.0,90.0,10.0
09/27/2023,Idaho,All Sexes,50-64 years,50.0,254.0,25.0
09/27/2023,Idaho,All Sexes,55-64 years,38.0,197.0,18.0
09/27/2023,Idaho,All Sexes,65-74 years,67.0,359.0,42.0
09/27/2023,Idaho,All Sexes,75-84 years,67.0,458.0,33.0
09/27/2023,Idaho,All Sexes,85 years and over,67.0,504.0,32.0
09/27/2023,Idaho,All Sexes,All Ages,300.0,1475.0,154.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,12.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,17.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,23.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,27.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,30.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,38.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,60.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,43.0,224.0,24.0
09/27/2023,Idaho,All Sexes,55-64 years,37.0,185.0,22.0
09/27/2023,Idaho,All Sexes,65-74 years,63.0,307.0,40.0
09/27/2023,Idaho,All Sexes,75-84 years,103.0,452.0,57.0
09/27/2023,Idaho,All Sexes,85 years and over,86.0,401.0,30.0
09/27/2023,Idaho,All Sexes,All Ages,78.0,1385.0,38.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,10.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,29.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,43.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,39.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,46.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,70.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,15.0,194.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,11.0,151.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,17.0,290.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,22.0,373.0,13.0
09/27/2023,Idaho,All Sexes,85 years and over,22.0,411.0,10.0
09/27/2023,Idaho,All Sexes,All Ages,20.0,1291.0,0.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,11.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,17.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,23.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,25.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,31.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,46.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,71.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,199.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,159.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,252.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,0.0,369.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,0.0,359.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,12.0,1244.0,0.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,11.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,19.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,21.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,33.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,52.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,54.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,54.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,181.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,151.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,256.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,0.0,329.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,0.0,358.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,51.0,1422.0,18.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,13.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,19.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,46.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,35.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,41.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,42.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,46.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,63.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,200.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,164.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,283.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,10.0,389.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,21.0,398.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,73.0,1467.0,24.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,11.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,19.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,16.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,31.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,31.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,34.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,47.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,53.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,62.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,15.0,204.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,12.0,168.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,11.0,301.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,18.0,376.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,28.0,449.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,78.0,1406.0,32.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,18.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,35.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,33.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,42.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,51.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,64.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,178.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,142.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,14.0,303.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,29.0,371.0,16.0
09/27/2023,Idaho,All Sexes,85 years and over,26.0,421.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,57.0,1299.0,11.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,13.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,21.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,11.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,22.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,28.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,28.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,36.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,48.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,71.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,174.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,131.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,10.0,252.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,11.0,376.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,27.0,378.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,42.0,1392.0,12.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,15.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,23.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,16.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,23.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,26.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,29.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,33.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,55.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,80.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,184.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,139.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,12.0,282.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,11.0,374.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,13.0,422.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,47.0,1435.0,16.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,14.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,17.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,35.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,38.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,34.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,35.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,50.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,74.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,189.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,146.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,300.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,12.0,408.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,19.0,405.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,53.0,1552.0,19.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,11.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,15.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,22.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,24.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,32.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,39.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,51.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,71.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,213.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,171.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,300.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,15.0,446.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,21.0,477.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,41.0,1446.0,14.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,10.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,21.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,19.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,17.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,21.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,30.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,43.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,57.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,63.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,186.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,150.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,284.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,19.0,422.0,0.0
09/27/2023,Idaho,All Sexes,85 years and over,11.0,429.0,0.0
09/27/2023,Idaho,All Sexes,All Ages,28.0,1248.0,15.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,0.0,0.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,0.0,26.0,0.0
09/27/2023,Idaho,All Sexes,25-34 years,0.0,34.0,0.0
09/27/2023,Idaho,All Sexes,30-39 years,0.0,36.0,0.0
09/27/2023,Idaho,All Sexes,35-44 years,0.0,50.0,0.0
09/27/2023,Idaho,All Sexes,40-49 years,0.0,43.0,0.0
09/27/2023,Idaho,All Sexes,45-54 years,0.0,45.0,0.0
09/27/2023,Idaho,All Sexes,50-64 years,0.0,151.0,0.0
09/27/2023,Idaho,All Sexes,55-64 years,0.0,118.0,0.0
09/27/2023,Idaho,All Sexes,65-74 years,0.0,256.0,0.0
09/27/2023,Idaho,All Sexes,75-84 years,0.0,374.0,0.0
