city,state_name,lat,lng,population,density
Victorville,California,34.5277,-117.3536,389060,644.1
Aurora,Colorado,39.7083,-104.7237,383496,915.8
Modesto,California,37.6375,-121.0028,382994,1923.9
Lancaster,California,34.6935,-118.1753,381732,645.9
Fayetteville,Arkansas,36.0714,-94.1661,381636,614.5
Scranton,Pennsylvania,41.4044,-75.6649,376974,1174.7
Oxnard,California,34.1964,-119.1815,366330,3023.3
Youngstown,Ohio,41.0993,-80.6463,363541,730.1
Indio,California,33.7346,-116.2346,361831,1046.2
Pensacola,Florida,30.4413,-87.1911,360711,897.6
Anaheim,California,33.839,-117.8574,348204,2711.7
Bonita Springs,Florida,26.3558,-81.7859,347581,580.4
Greensboro,North Carolina,36.0956,-79.8271,345270,872.6
Huntsville,Alabama,34.6981,-86.6412,339136,351.8
Corpus Christi,Texas,27.7254,-97.3767,333764,777.0
Fort Wayne,Indiana,41.0888,-85.1436,330305,935.5
Fayetteville,North Carolina,35.085,-78.9772,328827,550.0
Ann Arbor,Michigan,42.2759,-83.731,327814,1658.0
Jackson,Mississippi,32.3157,-90.2125,326977,566.0
Antioch,California,37.9787,-121.796,322796,1475.4
Mobile,Alabama,30.6782,-88.1162,322079,525.9
Lexington,Kentucky,38.0423,-84.4587,321354,438.6
Asheville,North Carolina,35.5707,-82.5537,316694,784.0
Trenton,New Jersey,40.2237,-74.7641,316436,4232.8
Santa Rosa,California,38.4458,-122.7067,314196,1619.6
Santa Ana,California,33.7367,-117.8819,313818,4690.9
Lansing,Michigan,42.7142,-84.5601,312829,1158.9
Henderson,Nevada,36.0133,-115.0381,311250,1124.7
St. Paul,Minnesota,44.9478,-93.1039,309751,2272.3
Lakeland,Florida,28.0557,-81.9545,308994,642.7
Newark,New Jersey,40.7245,-74.1725,306247,4508.4
Fort Collins,Colorado,40.5477,-105.0656,301596,1120.5
Reading,Pennsylvania,40.34,-75.9267,299068,3465.0
Springfield,Missouri,37.1943,-93.2916,298722,784.1
Irvine,California,33.6772,-117.7738,297868,1604.7
Anchorage,Alaska,61.1508,-149.1091,292545,66.1
The Woodlands,Texas,30.1738,-95.5134,292380,1021.9
South Bend,Indiana,41.6767,-86.2696,290915,944.5
Rockford,Illinois,42.2596,-89.064,289763,877.0
Savannah,Georgia,32.0286,-81.1821,289607,517.7
Lincoln,Nebraska,40.8099,-96.6784,289136,1131.9
Jersey City,New Jersey,40.7184,-74.0686,287146,6878.3
Round Lake Beach,Illinois,42.3791,-88.0811,287012,2090.5
Flint,Michigan,43.0236,-83.6921,286324,1108.4
Shreveport,Louisiana,32.4653,-93.7955,286200,678.0
Plano,Texas,33.0502,-96.7486,282181,1555.8
Myrtle Beach,South Carolina,33.7094,-78.8844,281180,551.9
Davenport,Iowa,41.5565,-90.6053,280282,618.5
Canton,Ohio,40.8078,-81.3676,277741,1038.8
Santa Clarita,California,34.4175,-118.4964,275230,1159.7
Chula Vista,California,32.6281,-117.0144,274818,2090.7
Eugene,Oregon,44.0564,-123.1174,273904,1489.3
Chandler,Arizona,33.2825,-111.8514,272439,1515.9
Salem,Oregon,44.9233,-123.0244,268634,1358.7
Concord,North Carolina,35.3933,-80.6369,264492,571.0
Gilbert,Arizona,33.31,-111.7463,262249,1398.0
Columbus,Georgia,32.51,-84.8771,262061,348.5
Aguadilla,Puerto Rico,18.4382,-67.1537,260331,1681.1
Lubbock,Texas,33.5657,-101.8879,259946,736.6
North Las Vegas,Nevada,36.2883,-115.0888,259638,933.1
St. Petersburg,Florida,27.7931,-82.6652,258245,1647.5
Tallahassee,Florida,30.4551,-84.2527,257648,731.2
Laredo,Texas,27.5625,-99.4874,256748,941.8
Peoria,Illinois,40.752,-89.6154,255718,906.6
Avondale,Arizona,33.3873,-112.3235,254537,698.1
Lafayette,Louisiana,30.2082,-92.0325,254286,874.7
Irving,Texas,32.8583,-96.9702,254184,1386.2
Montgomery,Alabama,32.3482,-86.2668,253711,480.8
Visalia,California,36.3276,-119.3269,249804,1352.8
McKinney,Texas,33.2016,-96.667,248840,1102.4
Wilmington,North Carolina,34.2099,-77.8866,247372,917.6
Chesapeake,Virginia,36.6778,-76.3023,247172,276.8
Glendale,Arizona,33.5791,-112.2311,245685,1494.0
Garland,Texas,32.91,-96.6304,245075,1613.1
Kennewick,Washington,46.1978,-119.1732,241230,1144.9
Winter Haven,Florida,28.0118,-81.7014,240768,504.8
Scottsdale,Arizona,33.6872,-111.8651,238685,535.1
Norfolk,Virginia,36.8945,-76.259,238556,1770.5
Killeen,Texas,31.0753,-97.7297,238288,1046.1
York,Pennsylvania,39.9651,-76.7315,236818,3211.3
Atlantic City,New Jersey,39.3797,-74.4527,236314,1356.1
Nashua,New Hampshire,42.7491,-71.491,235982,1115.1
Arlington,Virginia,38.8786,-77.1011,235764,3511.4
Brownsville,Texas,25.9975,-97.458,235735,534.4
Fremont,California,37.5265,-121.9843,231502,1160.9
Gulfport,Mississippi,30.4274,-89.0704,231423,497.4
Evansville,Indiana,37.9881,-87.5341,226788,965.5
Hialeah,Florida,25.8696,-80.3045,224362,4184.1
Navarre,Florida,30.4174,-86.8907,223951,625.9
Bel Air South,Maryland,39.5022,-76.3113,222834,998.6
North Port,Florida,27.0576,-82.1977,221616,267.2
San Bernardino,California,34.1416,-117.2943,220821,1347.0
Portland,Maine,43.6773,-70.2715,220807,1195.5
Enterprise,Nevada,36.0091,-115.2278,219566,1255.4
Bremerton,Washington,47.5436,-122.7121,219538,560.3
Green Bay,Wisconsin,44.5148,-87.9895,219472,887.2
Appleton,Wisconsin,44.278,-88.3892,218448,1150.9
Spring Valley,Nevada,36.0952,-115.2636,217441,2378.2
Tacoma,Washington,47.2431,-122.4531,217332,1675.7
Spartanburg,South Carolina,34.9442,-81.9251,216021,713.9
Roanoke,Virginia,37.2785,-79.9581,215781,900.1
Gainesville,Florida,29.6804,-82.3459,213287,814.2
Deltona,Florida,28.905,-81.2137,212616,950.1
Kalamazoo,Michigan,42.2749,-85.5882,212033,1190.0
Thousand Oaks,California,34.1914,-118.8756,211045,891.9
Hickory,North Carolina,35.741,-81.3223,211042,515.4
Yonkers,New York,40.9466,-73.8673,209730,4292.6
Moreno Valley,California,33.9244,-117.2045,208371,1570.3
Fontana,California,34.0968,-117.4599,208087,1906.8
College Station,Texas,30.5852,-96.2959,207514,874.0
Fargo,North Dakota,46.8651,-96.8292,207310,949.4
Amarillo,Texas,35.1984,-101.8316,204357,748.0
Norwich,Connecticut,41.5495,-72.0882,201726,538.1
Olympia,Washington,47.0417,-122.8959,200836,1108.0
Waterbury,Connecticut,41.5582,-73.0361,199552,1460.0
Salinas,California,36.6883,-121.6317,199290,2564.3
Huntington,West Virginia,38.4109,-82.4345,199133,1098.3
Huntington Beach,California,33.696,-118.0018,198735,2857.1
Clarksville,Tennessee,36.5692,-87.3413,198689,605.6
Santa Barbara,California,34.4285,-119.7202,198240,1799.4
Glendale,California,34.1819,-118.2468,196512,2525.4
Sunrise Manor,Nevada,36.1783,-115.0487,196411,2269.8
Grand Prairie,Texas,32.6871,-97.0208,195992,1032.1
Overland Park,Kansas,38.887,-94.687,195249,993.3
Hagerstown,Maryland,39.6401,-77.7217,194602,1229.4
Nampa,Idaho,43.5844,-116.5638,194547,1090.5
Gastonia,North Carolina,35.2494,-81.1854,194190,572.0
Frisco,Texas,33.156,-96.8216,193140,1059.7
Cedar Rapids,Iowa,41.9662,-91.6783,192714,712.9
Hemet,California,33.7341,-116.9969,191170,1116.6
Paradise,Nevada,36.0872,-115.1355,189852,1758.7
Sioux Falls,South Dakota,43.5396,-96.7311,189258,879.9
Vancouver,Washington,45.6366,-122.5967,188331,1447.8
Peoria,Arizona,33.7843,-112.2989,187733,377.4
Waco,Texas,31.5599,-97.1882,187172,599.5
Lorain,Ohio,41.4409,-82.184,186500,1044.0
Erie,Pennsylvania,42.1167,-80.0733,186489,1948.6
Newport News,Virginia,37.1051,-76.5185,185069,1005.1
Aurora,Illinois,41.7638,-88.2902,183447,1711.4
Fort Lauderdale,Florida,26.1412,-80.1464,182247,2029.7
Vallejo,California,38.1125,-122.2342,181882,1539.3
Murfreesboro,Tennessee,35.849,-86.4121,181450,863.0
Spring Hill,Florida,28.4798,-82.53,179668,732.9
Tempe,Arizona,33.3881,-111.9319,178862,1852.3
High Point,North Carolina,35.991,-79.9937,178800,768.9
Medford,Oregon,42.3372,-122.854,178457,1224.5
Danbury,Connecticut,41.4015,-73.4709,177722,777.6
Elk Grove,California,38.4161,-121.3842,175510,1594.1
Ontario,California,34.0393,-117.6064,175223,1376.8
Frederick,Maryland,39.4337,-77.4141,175032,1158.3
Vero Beach South,Florida,27.6132,-80.4163,174748,939.5
Ocala,Florida,29.178,-82.1511,174618,490.4
Oceanside,California,33.2247,-117.3083,174461,1643.7
Rancho Cucamonga,California,34.1247,-117.5667,173946,1478.4
Garden Grove,California,33.7787,-117.9601,172708,3714.5
Cary,North Carolina,35.7819,-78.8195,171603,1101.0
Pembroke Pines,Florida,26.0128,-80.3382,170346,2031.8
Bayamón,Puerto Rico,18.3794,-66.1635,170028,2245.3
Palmdale,California,34.5944,-118.1057,167987,557.8
Manchester,New Hampshire,42.9848,-71.4447,167568,1312.6
Lafayette,Indiana,40.3991,-86.8593,166793,953.6
Santa Cruz,California,36.9789,-122.0346,165933,1970.2
Marysville,Washington,48.0809,-122.1561,164655,1295.4
Muskegon,Michigan,43.2281,-86.2562,164136,1018.7
Springfield,Illinois,39.7709,-89.654,162588,726.0
Hayward,California,37.6328,-122.0766,162254,1338.3
New Bedford,Massachusetts,41.6697,-70.9428,158353,1840.8
Alexandria,Virginia,38.8185,-77.0861,158185,4092.5
Paterson,New Jersey,40.9147,-74.1624,157927,6676.6
Corona,California,33.8616,-117.5649,157844,1625.1
Merced,California,37.3057,-120.4779,157617,1396.0
Warner Robins,Georgia,32.5961,-83.6527,157416,786.6
Port Arthur,Texas,29.8554,-93.9264,156988,278.2
Macon,Georgia,32.8065,-83.6974,156711,236.9
Kansas City,Kansas,39.1235,-94.7443,155745,473.6
Lakewood,Colorado,39.6977,-105.1172,155608,1383.1
Sunnyvale,California,37.3836,-122.0255,155550,2670.3
Fredericksburg,Virginia,38.2992,-77.4872,155414,1073.6
Leesburg,Florida,28.7672,-81.8962,154301,232.4
Champaign,Illinois,40.1142,-88.2737,153278,1482.7
Hollywood,Florida,26.0293,-80.1679,152597,2179.6
Pasadena,Texas,29.6575,-95.1498,151964,1348.4
Pomona,California,34.0585,-117.7626,151592,2538.6
Escondido,California,33.1348,-117.0723,151443,1554.9
Joliet,Illinois,41.5188,-88.1499,150323,874.0
Lake Charles,Louisiana,30.201,-93.2111,150036,657.2
Mesquite,Texas,32.7602,-96.5865,149848,1120.3
Mauldin,South Carolina,34.7821,-82.3032,149687,826.4
Panama City,Florida,30.1995,-85.6003,149366,395.2
Bellevue,Washington,47.5951,-122.1535,149365,1686.3
Naperville,Illinois,41.748,-88.1659,149013,1459.0
Harlingen,Texas,26.1916,-97.6977,148545,625.7
Tuscaloosa,Alabama,33.2348,-87.5268,148523,627.3
Elkhart,Indiana,41.6916,-85.9627,147679,739.1
Torrance,California,33.8346,-118.3416,147156,2717.9
Binghamton,New York,42.1014,-75.9093,146870,1651.3
Houma,Louisiana,29.58,-90.7059,146665,882.1
Topeka,Kansas,39.0346,-95.6955,146473,788.4
Roseville,California,38.7703,-121.3196,145687,1216.3
Fairfield,California,38.2583,-122.0335,145163,1081.9
Tyler,Texas,32.3184,-95.3062,143895,711.4
Fullerton,California,33.8841,-117.9279,142964,2429.3
Pueblo,Colorado,38.2701,-104.6114,142727,768.2
Athens,Georgia,33.9508,-83.3689,142277,414.8
Santa Maria,California,34.9333,-120.4431,142230,1786.2
Surprise,Arizona,33.6815,-112.4515,141875,486.6
Charleston,West Virginia,38.3484,-81.6322,141640,579.4
Las Cruces,New Mexico,32.3265,-106.7893,141399,516.7
Metairie,Louisiana,29.9977,-90.178,140590,2299.3
Thornton,Colorado,39.9197,-104.9438,140538,1550.7
Olathe,Kansas,38.8833,-94.82,140339,866.8
Carolina,Puerto Rico,18.4054,-65.9792,139735,2502.3
Gainesville,Georgia,34.2902,-83.8294,139507,479.0
West Valley City,Utah,40.6886,-112.0123,139361,1461.5
Orange,California,33.8038,-117.8218,139195,2095.7
Warren,Michigan,42.4934,-83.027,138996,1507.1
Pasadena,California,34.1597,-118.139,138771,2388.0
Beaumont,Texas,30.0849,-94.1451,137549,549.3
Burlington,North Carolina,36.076,-79.4685,137096,696.3
Hampton,Virginia,37.0551,-76.363,136748,1014.2
Columbia,Missouri,38.9472,-92.3268,136736,711.5
Yuma,Arizona,32.5995,-114.5491,135933,311.5
Elizabeth,New Jersey,40.6658,-74.1913,135772,4027.0
Racine,Wisconsin,42.7274,-87.8135,135352,1918.5
Greeley,Colorado,40.4152,-104.7706,135270,847.8
Kent,Washington,47.3887,-122.2128,134890,1484.0
Stamford,Connecticut,41.1039,-73.5585,134820,1334.9
Odessa,Texas,31.8801,-102.3448,134793,920.0
Bloomington,Illinois,40.4757,-88.9703,134357,1106.6
Miramar,Florida,25.9773,-80.3351,134306,1879.8
Grand Junction,Colorado,39.0877,-108.5673,134074,594.6
Sterling Heights,Michigan,42.5809,-83.0305,134062,1401.5
Coral Springs,Florida,26.2702,-80.2591,133693,2252.2
Johnson City,Tennessee,36.3406,-82.3806,131902,594.9
Carrollton,Texas,32.989,-96.8999,131388,1446.4
Midland,Texas,32.0243,-102.1147,130765,722.2
Yakima,Washington,46.5923,-120.5496,130440,1302.9
Bellingham,Washington,48.7548,-122.469,129601,1246.1
Yuba City,California,39.1357,-121.6383,129536,1718.2
South Lyon,Michigan,42.4614,-83.6526,128071,1219.6
Santa Clara,California,37.3646,-121.968,127922,2677.1
St. George,Utah,37.0758,-113.5752,127890,429.0
Fort Smith,Arkansas,35.3495,-94.3695,127699,529.7
Simi Valley,California,34.2663,-118.749,127158,1168.8
Dover,Delaware,39.161,-75.5202,125931,617.8
Norman,Oklahoma,35.2335,-97.3471,125745,268.2
Abilene,Texas,32.4543,-99.7384,125474,451.3
Billings,Montana,45.7891,-108.5526,124973,945.0
Ponce,Puerto Rico,18.0127,-66.6212,124719,1497.1
Lehigh Acres,Florida,26.612,-81.6388,123751,518.7
St. Cloud,Minnesota,45.534,-94.1718,123569,660.1
Arecibo,Puerto Rico,18.4491,-66.7387,123499,970.8
Kenosha,Wisconsin,42.5865,-87.8773,123061,1359.8
Greenville,North Carolina,35.5943,-77.376,122921,967.3
Arvada,Colorado,39.832,-105.151,122903,1193.0
Pearland,Texas,29.5581,-95.3218,122609,998.0
Independence,Missouri,39.0871,-94.3501,122230,580.1
Texas City,Texas,29.4154,-94.9682,122017,288.2
Redding,California,40.5698,-122.365,121498,595.7
Lynchburg,Virginia,37.4003,-79.1909,120877,638.3
Boulder,Colorado,40.0248,-105.2524,120818,1594.5
Iowa City,Iowa,41.6559,-91.5303,120015,1141.8
Rochester,Minnesota,44.0154,-92.478,119732,813.7
Berkeley,California,37.8722,-122.276,119607,4554.9
Waldorf,Maryland,38.6085,-76.9194,119442,827.9
The Villages,Florida,28.9034,-81.9887,119296,963.1
Duluth,Minnesota,46.7756,-92.1393,118975,462.6
East Los Angeles,California,34.0326,-118.1691,118964,6242.6
Saginaw,Michigan,43.4199,-83.9501,118845,1093.9
Clovis,California,36.8278,-119.683,118488,1686.7
Leominster,Massachusetts,42.5209,-71.7717,118190,557.0
Round Rock,Texas,30.527,-97.6642,117735,1321.3
Monroe,Louisiana,32.5185,-92.0774,117197,623.7
Cambridge,Massachusetts,42.3759,-71.1185,116892,7111.9
Clearwater,Florida,27.979,-82.7623,116616,1713.6
Seaside,California,36.6224,-121.8199,116189,1473.9
West Jordan,Utah,40.6024,-112.0008,116045,1375.6
Richardson,Texas,32.9716,-96.7093,115904,1602.8
West Palm Beach,Florida,26.7469,-80.132,115877,796.4
Temple,Texas,31.1068,-97.3891,115809,413.6
Burlington,Vermont,44.4876,-73.2316,115682,1598.1
Richmond,California,37.9477,-122.3389,115677,1413.8
Westminster,Colorado,39.8837,-105.0624,115535,1403.7
Pottstown,Pennsylvania,40.2508,-75.6445,115413,1801.2
Brandon,Florida,27.9367,-82.3,115330,1350.7
Rock Hill,South Carolina,34.9415,-81.0241,115292,721.9
Meridian,Idaho,43.6116,-116.3977,115227,1168.8
Coeur d'Alene,Idaho,47.704,-116.7936,114880,1234.6
Carlsbad,California,33.1246,-117.2834,114858,1169.5
Lowell,Massachusetts,42.6389,-71.3217,114804,3157.7
Waterloo,Iowa,42.4918,-92.3522,114594,424.2
North Charleston,South Carolina,32.9067,-80.0722,114542,566.3
Gilroy,California,37.0046,-121.5854,114461,1289.5
Downey,California,33.9379,-118.1311,114293,3462.0
Gresham,Oregon,45.5021,-122.4413,114164,1816.5
Elgin,Illinois,42.0383,-88.324,114156,1137.8
Utica,New York,43.0962,-75.2261,112948,1385.0
Broken Arrow,Oklahoma,36.038,-95.7806,112751,667.7
Costa Mesa,California,33.6667,-117.9135,112148,2759.3
Chico,California,39.7578,-121.8161,112132,1106.0
Sioux City,Iowa,42.4959,-96.3901,111924,545.1
League City,Texas,29.4874,-95.1087,111847,793.9
Miami Gardens,Florida,25.9433,-80.2426,111706,2346.3
Pompano Beach,Florida,26.2428,-80.1312,111423,1787.3
San Buenaventura,California,34.2741,-119.2314,110572,1913.6
Everett,Washington,47.9525,-122.1669,110438,1289.4
El Centro,California,32.7865,-115.5595,110434,1415.5
Sugar Land,Texas,29.5935,-95.6358,110272,1131.2
El Monte,California,34.0739,-118.0291,110144,4602.2
Lewisville,Texas,33.0454,-96.9815,110077,1124.0
West Covina,California,34.0555,-117.9113,109396,2547.4
Temecula,California,33.4928,-117.1315,109376,1171.9
Bend,Oregon,44.0563,-121.3095,109224,1114.3
Salisbury,Maryland,38.3756,-75.5865,108982,920.1
Jacksonville,North Carolina,34.7289,-77.3941,108549,587.7
Inglewood,California,33.9566,-118.3444,108206,4654.5
Dearborn,Michigan,42.3127,-83.213,107985,1502.1
Centennial,Colorado,39.5926,-104.8673,107972,1446.3
Burbank,California,34.1879,-118.3235,107364,2305.8
Sparks,Nevada,39.5736,-119.7161,106900,1088.7
Sandy Springs,Georgia,33.9366,-84.3703,106605,1109.2
Bloomington,Indiana,39.1637,-86.5257,106327,1406.4
Logan,Utah,41.7399,-111.8422,106319,1106.4
Kailua,Hawaii,21.392,-157.7396,106260,1882.8
El Cajon,California,32.8017,-116.9604,106043,2747.5
Hillsboro,Oregon,45.5273,-122.936,105909,1619.6
South Fulton,Georgia,33.6273,-84.58,105551,446.7
Renton,Washington,47.4784,-122.1918,105313,1673.0
Mandeville,Louisiana,30.3751,-90.0904,105097,681.3
San Mateo,California,37.5522,-122.3121,105087,3297.1
Columbia,Maryland,39.2004,-76.859,105086,1274.5
Daly City,California,37.6862,-122.4685,104914,5418.5
Davie,Florida,26.0789,-80.287,104782,1168.4
Jurupa Valley,California,34.001,-117.4706,104684,958.9
Brockton,Massachusetts,42.0821,-71.0242,104216,1732.8
Longmont,Colorado,40.1686,-105.1005,104035,1284.8
Rialto,California,34.1175,-117.3892,103799,1659.6
San Germán,Puerto Rico,18.0827,-67.046,103747,1270.7
Eau Claire,Wisconsin,44.8197,-91.4948,103586,807.5
Turlock,California,37.5053,-120.8588,103359,1671.5
Norwalk,California,33.9069,-118.0829,103330,4157.4
Highlands Ranch,Colorado,39.5419,-104.9708,103238,1702.6
Allen,Texas,33.1088,-96.6735,102778,1521.5
Wichita Falls,Texas,33.9072,-98.5291,102563,561.1
Rio Rancho,New Mexico,35.2873,-106.6982,102403,366.0
Vacaville,California,38.3587,-121.9673,102256,1292.1
Spokane Valley,Washington,47.6626,-117.2346,102178,1016.2
Charlottesville,Virginia,38.0375,-78.4855,102164,1779.4
Idaho Falls,Idaho,43.4871,-112.0362,101326,940.0
Menifee,California,33.6909,-117.1849,101089,772.4
Lee's Summit,Missouri,38.9171,-94.3816,100772,598.2
Quincy,Massachusetts,42.2506,-71.0187,100544,2199.0
San Angelo,Texas,31.4424,-100.4504,100330,647.0
Lynn,Massachusetts,42.4781,-70.9664,100233,3386.9
Holland,Michigan,42.7677,-86.0984,100202,771.3
Federal Way,Washington,47.3091,-122.3358,99792,1676.5
Manteca,California,37.7927,-121.2264,99764,1463.6
Lafayette,Colorado,39.9946,-105.0998,99475,1170.2
Santa Fe,New Mexico,35.6619,-105.9819,99439,624.0
Hesperia,California,34.3975,-117.3147,99287,505.5
La Crosse,Wisconsin,43.8241,-91.2268,99227,917.0
Riverview,Florida,27.8227,-82.3023,98928,801.4
Kingsport,Tennessee,36.5224,-82.5454,98767,394.1
Edinburg,Texas,26.3196,-98.1597,98759,843.8
Vista,California,33.1896,-117.2386,98651,2073.0
Bowling Green,Kentucky,36.9716,-86.4378,98537,684.7
Carmel,Indiana,39.965,-86.146,98137,779.7
Longview,Texas,32.5193,-94.7622,98075,568.4
Tracy,California,37.7269,-121.4523,98022,1349.6
